Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,21993.359375,23397.089844,21883.820313,23360.779297,23360.779297,25822815800
2017-02-01,23211.880859,24216.529297,22997.460938,23740.730469,23740.730469,41223714800
2017-03-01,23849.220703,24656.650391,23438.859375,24111.589844,24111.589844,42389134200
2017-04-01,24236.560547,24717.439453,23723.869141,24615.130859,24615.130859,27864260500
2017-05-01,24773.800781,25817.949219,24358.720703,25660.650391,25660.650391,33998951700
2017-06-01,25736.349609,26090.330078,25557.800781,25764.580078,25764.580078,35906269800
2017-07-01,25654.769531,27324.380859,25199.859375,27323.990234,27323.990234,37177052800
2017-08-01,27326.039063,28127.900391,26863.710938,27970.300781,27970.300781,47152524300
2017-09-01,28015.220703,28248.119141,27300.369141,27554.300781,27554.300781,34006627000
2017-10-01,27884.210938,28798.779297,27737.380859,28245.539063,28245.539063,36453138400
2017-11-01,28387.550781,30199.689453,28137.769531,29177.349609,29177.349609,42264399600
2017-12-01,29261.310547,29997.960938,28134.929688,29919.150391,29919.150391,33816384100
2018-01-01,30028.289063,33484.078125,30028.289063,32887.269531,32887.269531,65422943900
2018-02-01,32950.300781,33048.039063,29129.259766,30844.720703,30844.720703,51985739100
2018-03-01,30476.990234,31978.140625,29819.630859,30093.380859,30093.380859,44458615200
2018-04-01,29927.880859,31094.109375,29518.689453,30808.449219,30808.449219,34848642500
2018-05-01,30782.210938,31592.560547,29791.869141,30468.560547,30468.560547,37856201400
2018-06-01,30548.779297,31521.130859,28169.099609,28955.109375,28955.109375,42599949800
2018-07-01,28617.000000,29083.400391,27745.849609,28583.009766,28583.009766,37645679300
2018-08-01,28756.720703,28772.800781,26871.109375,27888.550781,27888.550781,37508015600
2018-09-01,27809.449219,28031.810547,26219.560547,27788.519531,27788.519531,35529393300
2018-10-01,27716.160156,27716.160156,24540.630859,24979.689453,24979.689453,41220417100
2018-11-01,25228.750000,26923.330078,25092.300781,26506.750000,26506.750000,34971908500
2018-12-01,27185.660156,27260.439453,25313.750000,25845.699219,25845.699219,29876011600
2019-01-01,25824.439453,28010.900391,24896.869141,27942.470703,27942.470703,38581138000
2019-02-01,28193.279297,29014.189453,27534.199219,28633.179688,28633.179688,31422096300
2019-03-01,28716.599609,29486.150391,28201.089844,29051.359375,29051.359375,38996518300
2019-04-01,29383.720703,30280.119141,29383.720703,29699.109375,29699.109375,35432393100
2019-05-01,29643.050781,30081.550781,26850.269531,26901.089844,26901.089844,44724478400
2019-06-01,26909.710938,28634.480469,26671.900391,28542.619141,28542.619141,33476138400
2019-07-01,28904.039063,29007.980469,27701.439453,27777.750000,27777.750000,25833237300
2019-08-01,27582.210938,27754.039063,24899.929688,25724.730469,25724.730469,41903210600
2019-09-01,25627.830078,27366.449219,25498.109375,26092.269531,26092.269531,34931280900
2019-10-01,25901.470703,27027.560547,25521.949219,26906.720703,26906.720703,31528918300
2019-11-01,26806.439453,27900.800781,26203.970703,26346.490234,26346.490234,31935674700
2019-12-01,26475.339844,28418.650391,25995.150391,28189.750000,28189.750000,26545016200
2020-01-01,28249.369141,29174.919922,26295.490234,26312.630859,26312.630859,32702114800
2020-02-01,26189.609375,28055.580078,25989.410156,26129.929688,26129.929688,38617191800
2020-03-01,26077.730469,26805.580078,21139.259766,23603.480469,23603.480469,70686647300
2020-04-01,23365.900391,24855.470703,22756.130859,24643.589844,24643.589844,36255335600
2020-05-01,23895.109375,24766.830078,22519.730469,22961.470703,22961.470703,37135966500
2020-06-01,23539.910156,25303.779297,23539.910156,24427.189453,24427.189453,40112436500
2020-07-01,24563.570313,26782.619141,24526.910156,24595.349609,24595.349609,48701717400
2020-08-01,24566.810547,25847.109375,24167.789063,25177.050781,25177.050781,35256937100
2020-09-01,25085.669922,25254.140625,23124.250000,23459.050781,23459.050781,38637026300
2020-10-01,24039.390625,24970.589844,23674.519531,24107.419922,24107.419922,37826792700
2020-11-01,24274.830078,27040.410156,24232.660156,26341.490234,26341.490234,56229675200
2020-12-01,26422.710938,27340.990234,25998.869141,27231.130859,27231.130859,54554133600
2021-01-01,27087.130859,30191.160156,27079.240234,28283.710938,28283.710938,73416364000
2021-02-01,28457.849609,31183.359375,28382.259766,28980.210938,28980.210938,55941235800
2021-03-01,29457.890625,29912.000000,27505.080078,28378.349609,28378.349609,67911393800
2021-04-01,28594.550781,29405.119141,28274.269531,28724.880859,28724.880859,39149674800
2021-05-01,28659.910156,29336.130859,27715.880859,29151.800781,29151.800781,44192230800
2021-06-01,29159.060547,29490.609375,28216.089844,28827.949219,28827.949219,45376408300
2021-07-01,28859.019531,28859.019531,24748.839844,25961.029297,25961.029297,49244260800
2021-08-01,26054.810547,26822.470703,24581.599609,25878.990234,25878.990234,42631874600
2021-09-01,25871.820313,26560.039063,23771.460938,24575.640625,24575.640625,47170477800
2021-10-01,24478.679688,26234.939453,23681.439453,25377.240234,25377.240234,33219748700
2021-11-01,25268.349609,25746.710938,23175.369141,23475.259766,23475.259766,36869190400
2021-12-01,23595.570313,24385.439453,22665.250000,23397.669922,23397.669922,35474891800
